State,FiscalYear,InflationDenom,CostOfLiving,ExpensiveSchoolEnrollment,StateSupport,FTEnrollment,SupportPerStudent
Oklahoma,2000,0.68,0.89,1.01,793686203,119115,6663.192738
Oregon,2000,0.68,1.02,1.04,508427182,105870,4802.372551
Pennsylvania,2000,0.68,1.07,1.05,1683587000,280594,6000.081969
Rhode Island,2000,0.68,1.15,0.96,152100000,25402,5987.717503
South Carolina,2000,0.68,0.92,1,783134622,128067,6115.038394
South Dakota,2000,0.68,1.01,1,118100000,22056,5354.552049
Tennessee,2000,0.68,0.91,1.01,974327800,160751,6061.099464
Texas,2000,0.68,0.89,0.98,4540312379,654039,6941.959698
Utah,2000,0.68,1.01,1.07,522374292,87640,5960.45518
Vermont,2000,0.68,1.12,1.01,53876570,15571,3460.058442
Virginia,2000,0.68,0.96,1.04,1410171000,233263,6045.41226
Washington,2000,0.68,1.05,0.99,1218500000,198984,6123.607928
West Virginia,2000,0.68,0.89,0.99,385026154,62959,6115.506187
Wisconsin,2000,0.68,1.03,1.01,1067000000,191528,5570.98701
Wyoming,2000,0.68,0.97,0.91,185850840,20419,9101.858073
Alabama,2001,0.71,0.9,1.02,1076332593,165833,6490.460843
Alaska,2001,0.71,1.22,1.02,190649900,16079,11857.07444
Arizona,2001,0.71,0.96,1.05,895266600,185330,4830.662062
Arkansas,2001,0.71,0.89,1.01,592975978,87337,6789.516219
California,2001,0.71,1.09,0.94,8843537000,1277325,6923.482277
Colorado,2001,0.71,1.05,1.07,706087616,141492,4990.300625
Connecticut,2001,0.71,1.2,1.02,684570674,60976,11226.8872
Delaware,2001,0.71,0.99,1.23,184700000,28944,6381.288004
Florida,2001,0.71,0.92,1.02,2957929677,420957,7026.678917
Georgia,2001,0.71,0.93,1.06,2240837869,234998,9535.561447
Hawaii,2001,0.71,1.35,1.07,339025000,31810,10657.81201
Idaho,2001,0.71,0.96,0.97,323423625,39495,8188.976453
Illinois,2001,0.71,1.05,0.96,2456747406,340301,7219.336429
Indiana,2001,0.71,1,1.09,1230830000,192803,6383.873695
Iowa,2001,0.71,0.99,1.08,800212979,105545,7581.723237
Kansas,2001,0.71,1,1.01,676662130,100476,6734.564772
Kentucky,2001,0.71,0.9,1.04,993133400,119500,8310.739749
Louisiana,2001,0.71,0.9,1.03,995020964,168121,5918.481118
Maine,2001,0.71,1.09,0.95,222133063,29287,7584.698433
Maryland,2001,0.71,1,0.98,1233033099,175085,7042.482788
Massachusetts,2001,0.71,1.22,0.99,1106112369,119717,9239.392643
Michigan,2001,0.71,1.03,1.06,2124200000,333584,6367.811406
Minnesota,2001,0.71,1.05,1,1315100000,167238,7863.64343
Mississippi,2001,0.71,0.88,0.97,786025734,102490,7669.29197
Missouri,2001,0.71,1,1,987983197,156588,6309.443872
Montana,2001,0.71,0.95,1.14,141721881,33660,4210.394563
Nebraska,2001,0.71,1.01,1.06,489500000,65725,7447.698745
Nevada,2001,0.71,1.01,0.95,316589859,48107,6580.952024
New Hampshire,2001,0.71,1.15,0.97,107600000,26506,4059.458236
New Jersey,2001,0.71,1.19,0.97,1577088385,178671,8826.773147
New Mexico,2001,0.71,0.95,1.01,470991600,66847,7045.81507
New York,2001,0.71,1.15,0.96,2950183200,451855,6529.048478
North Carolina,2001,0.71,0.93,0.98,2291936000,268589,8533.245963
North Dakota,2001,0.71,1,1.12,185532471,31922,5812.056607
Ohio,2001,0.71,1.01,1.04,2171387806,337379,6436.04909
