college_name,city,state,type_des,degree_des,campus_des,median_family_income,retention,population_recieving_loan,fed_loan_recipients,population_recieving_pell,pell_recipients,instate_tuition,outofstate_tuition,attendance_cost,avg_net_price,first_bracket_net_price,second_bracket_net_price,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,median_earnings,avg_earnings_from_low_income_bracket,avg_earnings_from_mid_income_bracket,avg_earnings_from_high_income_bracket,earning_above_threshold,completion_rate,debt_high_income,population_debt_high_income,debt_mid_income,population_debt_mid_income,debt_low_income,population_debt_low_income,debt_pell,population_debt_pell,debt_nopell,population_debt_nopell,debt_withdrew,debt_graduated,population_repayment_cohort,repayment_rate
Central Michigan University,Mount Pleasant,MI,public,bachelors,main,70233.5,0.7671,0.970000029,0.7469,0.50999999,0.349,11220,23670,21523,15457,10107,11611,14613,17986,19028,40000,41000,42600,46400,0.757525384,0.582397571,21500,4085,23000,3579,21226,2887,25000,6162,19500,4404,12000,27000,7152,0.820329978
Eastern Michigan University,Ypsilanti,MI,public,bachelors,main,52069,0.7381,0.959999979,0.7528,0.550000012,0.447,9364,24909,18905,12449,10938,11207,12853,14835,15433,37300,37100,41000,42300,0.711844265,0.37827535,17750,2754,20000,3236,19410,5082,21436,7680,14250.5,3410,14000,26000,7501,0.70857219
Ferris State University,Big Rapids,MI,public,bachelors,main,59172,0.7665,0.970000029,0.6678,0.519999981,0.4123,10466,16722,21498,14010,9469,12505,15769,17716,18686,40300,40700,43300,47800,0.72772646,0.437879135,16143,2058,19000,2560,16918,3107,20161,5111,13000,2625,11250,25522,5946,0.802724521
Grand Valley State University,Allendale,MI,public,bachelors,main,72885.5,0.8165,0.959999979,0.642,0.479999989,0.3632,10716,15388,21512,16243,11159,12506,15811,19122,20582,39100,40600,41400,44000,0.752848744,0.675498372,19500,4062,21912,3642,21500,3087,23750,6261,17478,4554,12000,26500,7161,0.880742913
Lake Superior State University,Sault Ste Marie,MI,public,bachelors,main,48687,0.7476,0.930000007,0.5991,0.579999983,0.4152,9960,14880,19571,11522,7064,7935,12515,16509,16021,35700,33600,38000,44400,0.67151767,0.400866089,16250,366,17713,502,15891.5,484,18232,930,12738.5,424,9750,25869,1157,0.771823682
University of Michigan-Ann Arbor,Ann Arbor,MI,public,bachelors,main,69630,0.9688,0.959999979,0.3665,0.300000012,0.157,13142,40392,25760,16287,5529,9397,13575,18598,23222,57900,70400,70500,73700,0.849939764,0.903062002,21400,3975,22000,1941,18691.5,1352,21270,2981,20750,4304,15000,22000,4986,0.931207381
Michigan State University,East Lansing,MI,public,bachelors,main,78152,0.9051,0.959999979,0.4845,0.409999996,0.2387,12862,33750,23740,16507,6293,13088,18402,21666,22643,49800,61500,54300,58500,0.83500123,0.782394627,21750,6161,25674,3796,21330,3234,25500,6598,20500,6615,15442,25714,10033,0.881690422
Michigan Technological University,Houghton,MI,public,bachelors,main,76868.5,0.8219,0.970000029,0.5969,0.439999998,0.267,13728,28608,24724,14446,9204,10798,12826,16794,20251,60100,54200,61200,64200,0.86120075,0.653076156,20908,927,23300,753,PrivacySuppressed,PrivacySuppressed,25000,1087,PrivacySuppressed,PrivacySuppressed,11000,27000,1951,0.923116351
University of Michigan-Dearborn,Dearborn,MI,public,bachelors,main,38952,0.8405,0.879999995,0.6704,0.649999976,0.4298,10614,23124,15831,9800,6386,8203,11117,12839,13175,47400,49600,52400,54200,0.784873962,0.517859074,19500,793,19355,991,17800,1689,20661,2394,14250,1087,11509,25000,2106,0.761633428
University of Michigan-Flint,Flint,MI,public,bachelors,main,38562,0.799,0.920000017,0.7483,0.629999995,0.4522,9356,18238,16731,12493,7952,9357,13933,15537,15355,40100,40500,44800,47700,0.730191231,0.375086072,19183,899,22250,1238,21102,1958,23311.5,2874,16000,1231,13848,28376.5,2741,0.639912441
